City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,kismayo,-0.3582,42.5454,299.55,87,48,6.26,SO,1697570473
113,princeville,45.7668,-61.2985,282.77,96,100,3.58,CA,1697570473
114,man,7.4125,-7.5538,295.86,95,35,0.33,CI,1697570474
115,pyu,18.4833,96.4333,296.12,95,48,0.61,MM,1697570474
116,kokstad,-30.5472,29.4241,281.86,95,3,1.76,ZA,1697570474
117,hadibu,12.65,54.0333,300.69,74,5,2.79,YE,1697570398
118,new norfolk,-42.7826,147.0587,280.77,94,16,1.57,AU,1697570474
119,dudinka,69.4058,86.1778,272.97,98,100,2.68,RU,1697570474
120,alice springs,-23.7,133.8833,282.9,40,0,2.06,AU,1697570221
121,curup,-3.4667,102.5333,293.21,90,100,0.88,ID,1697570474
122,kuqa,41.7278,82.9364,285.4,35,0,2.4,CN,1697570475
123,weno,7.4515,151.8468,299.12,94,40,1.54,FM,1697570475
124,ivins,37.1686,-113.6794,302.62,21,34,0.89,US,1697570345
125,puerto lempira,15.2667,-83.7667,301.23,74,75,4.63,HN,1697570475
126,vila franca do campo,37.7167,-25.4333,294.38,99,100,5.6,PT,1697570475
127,cam ranh,11.9214,109.1591,298.13,94,40,1.54,VN,1697570475
128,ilulissat,69.2167,-51.1,259.16,66,20,1.54,GL,1697570475
129,kenai,60.5544,-151.2583,279.9,95,0,0.0,US,1697570476
130,mejit,10.2753,170.8646,300.85,79,72,5.19,MH,1697570476
131,beau vallon,-20.4189,57.6953,298.27,88,75,1.54,MU,1697570476
132,namdrik,5.5994,168.1028,300.92,72,6,0.7,MH,1697570476
133,taoudenni,22.6783,-3.9836,307.28,12,0,3.05,ML,1697570476
134,polyarnyy,69.1989,33.4478,275.37,71,100,6.75,RU,1697570476
135,flying fish cove,-10.4217,105.6791,298.97,88,75,4.63,CX,1697570342
136,geraldton,-28.7667,114.6,291.38,77,100,5.66,AU,1697570357
137,lieksa,63.3167,30.0167,274.74,91,96,4.7,FI,1697570477
138,auna,10.1881,4.7232,300.52,72,97,1.69,NG,1697570477
139,bahia blanca,-38.7196,-62.2724,297.49,12,0,2.68,AR,1697570215
140,arraial do cabo,-22.9661,-42.0278,299.07,78,0,4.63,BR,1697570198
141,acarau,-2.8856,-40.12,301.52,64,100,8.84,BR,1697570477
142,nizhneudinsk,54.9076,99.0276,277.05,96,99,2.68,RU,1697570477
143,badger,64.8,-147.5333,274.81,85,75,0.0,US,1697570477
144,jamestown,42.097,-79.2353,283.16,90,100,2.24,US,1697570401
145,tadine,-21.55,167.8833,295.38,90,100,6.79,NC,1697570478
